           x                  u
    0.1838161838E+00    0.3165497098E+02
    0.1848151848E+00    0.3171199965E+02
    0.1858141858E+00    0.3176897426E+02
    0.1868131868E+00    0.3182589501E+02
    0.1878121878E+00    0.3188276210E+02
    0.1888111888E+00    0.3193957575E+02
    0.1898101898E+00    0.3199633615E+02
    0.1908091908E+00    0.3205304350E+02
    0.1918081918E+00    0.3210969800E+02
    0.1928071928E+00    0.3216629985E+02
    0.1938061938E+00    0.3222284926E+02
    0.1948051948E+00    0.3227934641E+02
    0.1958041958E+00    0.3233579152E+02
    0.1968031968E+00    0.3239218477E+02
    0.1978021978E+00    0.3244852636E+02
    0.1988011988E+00    0.3250481649E+02
    0.1998001998E+00    0.3256105535E+02
    0.2007992008E+00    0.3261724314E+02
    0.2017982018E+00    0.3267338005E+02
    0.2027972028E+00    0.3272946628E+02
    0.2037962038E+00    0.3278550202E+02
    0.2047952048E+00    0.3284148745E+02
    0.2057942058E+00    0.3289742277E+02
    0.2067932068E+00    0.3295330817E+02
    0.2077922078E+00    0.3300914385E+02
    0.2087912088E+00    0.3306492998E+02
    0.2097902098E+00    0.3312066676E+02
    0.2107892108E+00    0.3317635438E+02
    0.2117882118E+00    0.3323199301E+02
    0.2127872128E+00    0.3328758286E+02
    0.2137862138E+00    0.3334312410E+02
    0.2147852148E+00    0.3339861692E+02
    0.2157842158E+00    0.3345406150E+02
    0.2167832168E+00    0.3350945803E+02
    0.2177822178E+00    0.3356480669E+02
    0.2187812188E+00    0.3362010765E+02
    0.2197802198E+00    0.3367536111E+02
    0.2207792208E+00    0.3373056725E+02
    0.2217782218E+00    0.3378572623E+02
    0.2227772228E+00    0.3384083825E+02
    0.2237762238E+00    0.3389590347E+02
    0.2247752248E+00    0.3395092208E+02
    0.2257742258E+00    0.3400589426E+02
    0.2267732268E+00    0.3406082017E+02
    0.2277722278E+00    0.3411570000E+02
    0.2287712288E+00    0.3417053392E+02
    0.2297702298E+00    0.3422532211E+02
    0.2307692308E+00    0.3428006473E+02
    0.2317682318E+00    0.3433476195E+02
    0.2327672328E+00    0.3438941396E+02
    0.2337662338E+00    0.3444402092E+02
    0.2347652348E+00    0.3449858300E+02
    0.2357642358E+00    0.3455310038E+02
    0.2367632368E+00    0.3460757321E+02
    0.2377622378E+00    0.3466200166E+02
    0.2387612388E+00    0.3471638591E+02
    0.2397602398E+00    0.3477072612E+02
    0.2407592408E+00    0.3482502246E+02
    0.2417582418E+00    0.3487927508E+02
    0.2427572428E+00    0.3493348416E+02
    0.2437562438E+00    0.3498764986E+02
    0.2447552448E+00    0.3504177233E+02
    0.2457542458E+00    0.3509585174E+02
    0.2467532468E+00    0.3514988826E+02
    0.2477522478E+00    0.3520388203E+02
    0.2487512488E+00    0.3525783323E+02
    0.2497502498E+00    0.3531174200E+02
    0.2507492507E+00    0.3536560851E+02
    0.2517482517E+00    0.3541943291E+02
    0.2527472527E+00    0.3547321535E+02
    0.2537462537E+00    0.3552695601E+02
    0.2547452547E+00    0.3558065501E+02
    0.2557442557E+00    0.3563431253E+02
    0.2567432567E+00    0.3568792871E+02
    0.2577422577E+00    0.3574150371E+02
    0.2587412587E+00    0.3579503767E+02
    0.2597402597E+00    0.3584853075E+02
    0.2607392607E+00    0.3590198310E+02
    0.2617382617E+00    0.3595539485E+02
    0.2627372627E+00    0.3600876617E+02
    0.2637362637E+00    0.3606209720E+02
    0.2647352647E+00    0.3611538808E+02
    0.2657342657E+00    0.3616863896E+02
    0.2667332667E+00    0.3622184999E+02
    0.2677322677E+00    0.3627502130E+02
    0.2687312687E+00    0.3632815304E+02
    0.2697302697E+00    0.3638124535E+02
    0.2707292707E+00    0.3643429837E+02
    0.2717282717E+00    0.3648731225E+02
    0.2727272727E+00    0.3654028711E+02
    0.2737262737E+00    0.3659322311E+02
    0.2747252747E+00    0.3664612038E+02
    0.2757242757E+00    0.3669897904E+02
    0.2767232767E+00    0.3675179925E+02
    0.2777222777E+00    0.3680458113E+02
    0.2787212787E+00    0.3685732482E+02
    0.2797202797E+00    0.3691003045E+02
    0.2807192807E+00    0.3696269815E+02
    0.2817182817E+00    0.3701532806E+02
    0.2827172827E+00    0.3706792030E+02
    0.2837162837E+00    0.3712047501E+02
    0.2847152847E+00    0.3717299232E+02
    0.2857142857E+00    0.3722547234E+02
    0.2867132867E+00    0.3727791521E+02
    0.2877122877E+00    0.3733032106E+02
    0.2887112887E+00    0.3738269000E+02
    0.2897102897E+00    0.3743502217E+02
    0.2907092907E+00    0.3748731769E+02
    0.2917082917E+00    0.3753957667E+02
    0.2927072927E+00    0.3759179925E+02
    0.2937062937E+00    0.3764398554E+02
    0.2947052947E+00    0.3769613566E+02
    0.2957042957E+00    0.3774824972E+02
    0.2967032967E+00    0.3780032786E+02
    0.2977022977E+00    0.3785237018E+02
    0.2987012987E+00    0.3790437681E+02
    0.2997002997E+00    0.3795634784E+02
    0.3006993007E+00    0.3800828341E+02
    0.3016983017E+00    0.3806018363E+02
    0.3026973027E+00    0.3811204859E+02
    0.3036963037E+00    0.3816387843E+02
    0.3046953047E+00    0.3821567324E+02
    0.3056943057E+00    0.3826743314E+02
    0.3066933067E+00    0.3831915824E+02
    0.3076923077E+00    0.3837084864E+02
    0.3086913087E+00    0.3842250445E+02
    0.3096903097E+00    0.3847412577E+02
    0.3106893107E+00    0.3852571272E+02
    0.3116883117E+00    0.3857726539E+02
    0.3126873127E+00    0.3862878389E+02
    0.3136863137E+00    0.3868026832E+02
    0.3146853147E+00    0.3873171877E+02
    0.3156843157E+00    0.3878313536E+02
    0.3166833167E+00    0.3883451818E+02
    0.3176823177E+00    0.3888586733E+02
    0.3186813187E+00    0.3893718290E+02
    0.3196803197E+00    0.3898846499E+02
    0.3206793207E+00    0.3903971370E+02
    0.3216783217E+00    0.3909092912E+02
    0.3226773227E+00    0.3914211135E+02
    0.3236763237E+00    0.3919326047E+02
    0.3246753247E+00    0.3924437658E+02
    0.3256743257E+00    0.3929545976E+02
    0.3266733267E+00    0.3934651011E+02
    0.3276723277E+00    0.3939752772E+02
    0.3286713287E+00    0.3944851267E+02
    0.3296703297E+00    0.3949946505E+02
    0.3306693307E+00    0.3955038495E+02
    0.3316683317E+00    0.3960127244E+02
    0.3326673327E+00    0.3965212762E+02
    0.3336663337E+00    0.3970295056E+02
    0.3346653347E+00    0.3975374135E+02
    0.3356643357E+00    0.3980450006E+02
    0.3366633367E+00    0.3985522678E+02
    0.3376623377E+00    0.3990592158E+02
    0.3386613387E+00    0.3995658455E+02
    0.3396603397E+00    0.4000721575E+02
    0.3406593407E+00    0.4005781527E+02
    0.3416583417E+00    0.4010838318E+02
    0.3426573427E+00    0.4015891954E+02
    0.3436563437E+00    0.4020942444E+02
    0.3446553447E+00    0.4025989794E+02
    0.3456543457E+00    0.4031034012E+02
    0.3466533467E+00    0.4036075104E+02
    0.3476523477E+00    0.4041113077E+02
    0.3486513487E+00    0.4046147938E+02
    0.3496503497E+00    0.4051179694E+02
    0.3506493506E+00    0.4056208351E+02
    0.3516483516E+00    0.4061233914E+02
    0.3526473526E+00    0.4066256392E+02
    0.3536463536E+00    0.4071275790E+02
    0.3546453546E+00    0.4076292113E+02
    0.3556443556E+00    0.4081305368E+02
    0.3566433566E+00    0.4086315562E+02
    0.3576423576E+00    0.4091322698E+02
    0.3586413586E+00    0.4096326784E+02
    0.3596403596E+00    0.4101327825E+02
    0.3606393606E+00    0.4106325826E+02
    0.3616383616E+00    0.4111320792E+02
    0.3626373626E+00    0.4116312730E+02
    0.3636363636E+00    0.4121301643E+02
    0.3646353646E+00    0.4126287537E+02
    0.3656343656E+00    0.4131270417E+02
    0.3666333666E+00    0.4136250287E+02
    0.3676323676E+00    0.4141227153E+02
    0.3686313686E+00    0.4146201019E+02
    0.3696303696E+00    0.4151171890E+02
    0.3706293706E+00    0.4156139769E+02
    0.3716283716E+00    0.4161104661E+02
    0.3726273726E+00    0.4166066570E+02
    0.3736263736E+00    0.4171025501E+02
    0.3746253746E+00    0.4175981457E+02
    0.3756243756E+00    0.4180934441E+02
    0.3766233766E+00    0.4185884459E+02
    0.3776223776E+00    0.4190831513E+02
    0.3786213786E+00    0.4195775606E+02
    0.3796203796E+00    0.4200716743E+02
    0.3806193806E+00    0.4205654927E+02
    0.3816183816E+00    0.4210590159E+02
    0.3826173826E+00    0.4215522445E+02
    0.3836163836E+00    0.4220451786E+02
    0.3846153846E+00    0.4225378186E+02
    0.3856143856E+00    0.4230301647E+02
    0.3866133866E+00    0.4235222171E+02
    0.3876123876E+00    0.4240139762E+02
    0.3886113886E+00    0.4245054422E+02
    0.3896103896E+00    0.4249966152E+02
    0.3906093906E+00    0.4254874955E+02
    0.3916083916E+00    0.4259780834E+02
    0.3926073926E+00    0.4264683789E+02
    0.3936063936E+00    0.4269583824E+02
    0.3946053946E+00    0.4274480938E+02
    0.3956043956E+00    0.4279375135E+02
    0.3966033966E+00    0.4284266415E+02
    0.3976023976E+00    0.4289154781E+02
    0.3986013986E+00    0.4294040232E+02
    0.3996003996E+00    0.4298922771E+02
    0.4005994006E+00    0.4303802398E+02
    0.4015984016E+00    0.4308679114E+02
    0.4025974026E+00    0.4313552920E+02
    0.4035964036E+00    0.4318423816E+02
    0.4045954046E+00    0.4323291804E+02
    0.4055944056E+00    0.4328156883E+02
    0.4065934066E+00    0.4333019054E+02
    0.4075924076E+00    0.4337878317E+02
    0.4085914086E+00    0.4342734672E+02
    0.4095904096E+00    0.4347588120E+02
    0.4105894106E+00    0.4352438659E+02
    0.4115884116E+00    0.4357286290E+02
    0.4125874126E+00    0.4362131012E+02
    0.4135864136E+00    0.4366972824E+02
    0.4145854146E+00    0.4371811727E+02
    0.4155844156E+00    0.4376647719E+02
    0.4165834166E+00    0.4381480800E+02
    0.4175824176E+00    0.4386310968E+02
    0.4185814186E+00    0.4391138222E+02
    0.4195804196E+00    0.4395962562E+02
    0.4205794206E+00    0.4400783985E+02
    0.4215784216E+00    0.4405602490E+02
    0.4225774226E+00    0.4410418077E+02
    0.4235764236E+00    0.4415230742E+02
    0.4245754246E+00    0.4420040484E+02
    0.4255744256E+00    0.4424847302E+02
    0.4265734266E+00    0.4429651193E+02
    0.4275724276E+00    0.4434452154E+02
    0.4285714286E+00    0.4439250184E+02
    0.4295704296E+00    0.4444045281E+02
    0.4305694306E+00    0.4448837441E+02
    0.4315684316E+00    0.4453626662E+02
    0.4325674326E+00    0.4458412941E+02
    0.4335664336E+00    0.4463196275E+02
    0.4345654346E+00    0.4467976661E+02
    0.4355644356E+00    0.4472754096E+02
    0.4365634366E+00    0.4477528577E+02
    0.4375624376E+00    0.4482300100E+02
    0.4385614386E+00    0.4487068662E+02
    0.4395604396E+00    0.4491834259E+02
    0.4405594406E+00    0.4496596887E+02
    0.4415584416E+00    0.4501356542E+02
    0.4425574426E+00    0.4506113220E+02
    0.4435564436E+00    0.4510866918E+02
    0.4445554446E+00    0.4515617630E+02
    0.4455544456E+00    0.4520365353E+02
    0.4465534466E+00    0.4525110081E+02
    0.4475524476E+00    0.4529851810E+02
    0.4485514486E+00    0.4534590536E+02
    0.4495504496E+00    0.4539326253E+02
    0.4505494505E+00    0.4544058957E+02
    0.4515484515E+00    0.4548788641E+02
    0.4525474525E+00    0.4553515302E+02
    0.4535464535E+00    0.4558238933E+02
    0.4545454545E+00    0.4562959528E+02
    0.4555444555E+00    0.4567677083E+02
    0.4565434565E+00    0.4572391591E+02
    0.4575424575E+00    0.4577103047E+02
    0.4585414585E+00    0.4581811444E+02
    0.4595404595E+00    0.4586516776E+02
    0.4605394605E+00    0.4591219036E+02
    0.4615384615E+00    0.4595918220E+02
    0.4625374625E+00    0.4600614318E+02
    0.4635364635E+00    0.4605307326E+02
    0.4645354645E+00    0.4609997236E+02
    0.4655344655E+00    0.4614684041E+02
    0.4665334665E+00    0.4619367735E+02
    0.4675324675E+00    0.4624048309E+02
    0.4685314685E+00    0.4628725756E+02
    0.4695304695E+00    0.4633400070E+02
    0.4705294705E+00    0.4638071242E+02
    0.4715284715E+00    0.4642739264E+02
    0.4725274725E+00    0.4647404129E+02
    0.4735264735E+00    0.4652065829E+02
    0.4745254745E+00    0.4656724355E+02
    0.4755244755E+00    0.4661379700E+02
    0.4765234765E+00    0.4666031854E+02
    0.4775224775E+00    0.4670680810E+02
    0.4785214785E+00    0.4675326558E+02
    0.4795204795E+00    0.4679969090E+02
    0.4805194805E+00    0.4684608396E+02
    0.4815184815E+00    0.4689244469E+02
    0.4825174825E+00    0.4693877298E+02
    0.4835164835E+00    0.4698506874E+02
    0.4845154845E+00    0.4703133187E+02
    0.4855144855E+00    0.4707756229E+02
    0.4865134865E+00    0.4712375989E+02
    0.4875124875E+00    0.4716992457E+02
    0.4885114885E+00    0.4721605624E+02
    0.4895104895E+00    0.4726215479E+02
    0.4905094905E+00    0.4730822011E+02
    0.4915084915E+00    0.4735425212E+02
    0.4925074925E+00    0.4740025069E+02
    0.4935064935E+00    0.4744621573E+02
    0.4945054945E+00    0.4749214711E+02
    0.4955044955E+00    0.4753804475E+02
    0.4965034965E+00    0.4758390851E+02
    0.4975024975E+00    0.4762973830E+02
    0.4985014985E+00    0.4767553400E+02
    0.4995004995E+00    0.4772129548E+02
    0.5004995005E+00    0.4776702264E+02
    0.5014985015E+00    0.4781271536E+02
    0.5024975025E+00    0.4785837352E+02
    0.5034965035E+00    0.4790399699E+02
    0.5044955045E+00    0.4794958566E+02
    0.5054945055E+00    0.4799513940E+02
    0.5064935065E+00    0.4804065809E+02
    0.5074925075E+00    0.4808614160E+02
    0.5084915085E+00    0.4813158981E+02
    0.5094905095E+00    0.4817700257E+02
    0.5104895105E+00    0.4822237978E+02
    0.5114885115E+00    0.4826772128E+02
    0.5124875125E+00    0.4831302696E+02
    0.5134865135E+00    0.4835829666E+02
    0.5144855145E+00    0.4840353027E+02
    0.5154845155E+00    0.4844872764E+02
    0.5164835165E+00    0.4849388863E+02
    0.5174825175E+00    0.4853901311E+02
    0.5184815185E+00    0.4858410092E+02
    0.5194805195E+00    0.4862915194E+02
    0.5204795205E+00    0.4867416600E+02
    0.5214785215E+00    0.4871914298E+02
    0.5224775225E+00    0.4876408272E+02
    0.5234765235E+00    0.4880898506E+02
    0.5244755245E+00    0.4885384988E+02
    0.5254745255E+00    0.4889867700E+02
    0.5264735265E+00    0.4894346628E+02
    0.5274725275E+00    0.4898821756E+02
    0.5284715285E+00    0.4903293069E+02
    0.5294705295E+00    0.4907760552E+02
    0.5304695305E+00    0.4912224187E+02
    0.5314685315E+00    0.4916683960E+02
    0.5324675325E+00    0.4921139854E+02
    0.5334665335E+00    0.4925591853E+02
    0.5344655345E+00    0.4930039940E+02
    0.5354645355E+00    0.4934484099E+02
    0.5364635365E+00    0.4938924313E+02
    0.5374625375E+00    0.4943360565E+02
    0.5384615385E+00    0.4947792838E+02
    0.5394605395E+00    0.4952221116E+02
    0.5404595405E+00    0.4956645381E+02
    0.5414585415E+00    0.4961065614E+02
    0.5424575425E+00    0.4965481800E+02
    0.5434565435E+00    0.4969893920E+02
    0.5444555445E+00    0.4974301955E+02
    0.5454545455E+00    0.4978705890E+02
    0.5464535465E+00    0.4983105704E+02
    0.5474525475E+00    0.4987501379E+02
    0.5484515485E+00    0.4991892898E+02
    0.5494505495E+00    0.4996280242E+02
    0.5504495504E+00    0.5000663392E+02
    0.5514485514E+00    0.5005042328E+02
    0.5524475524E+00    0.5009417033E+02
    0.5534465534E+00    0.5013787486E+02
    0.5544455544E+00    0.5018153669E+02
    0.5554445554E+00    0.5022515562E+02
    0.5564435564E+00    0.5026873145E+02
    0.5574425574E+00    0.5031226399E+02
    0.5584415584E+00    0.5035575303E+02
    0.5594405594E+00    0.5039919838E+02
    0.5604395604E+00    0.5044259984E+02
    0.5614385614E+00    0.5048595719E+02
    0.5624375624E+00    0.5052927024E+02
    0.5634365634E+00    0.5057253878E+02
    0.5644355644E+00    0.5061576259E+02
    0.5654345654E+00    0.5065894148E+02
    0.5664335664E+00    0.5070207523E+02
    0.5674325674E+00    0.5074516363E+02
    0.5684315684E+00    0.5078820645E+02
    0.5694305694E+00    0.5083120350E+02
    0.5704295704E+00    0.5087415455E+02
    0.5714285714E+00    0.5091705937E+02
    0.5724275724E+00    0.5095991777E+02
    0.5734265734E+00    0.5100272950E+02
    0.5744255744E+00    0.5104549434E+02
    0.5754245754E+00    0.5108821209E+02
    0.5764235764E+00    0.5113088249E+02
    0.5774225774E+00    0.5117350534E+02
    0.5784215784E+00    0.5121608040E+02
    0.5794205794E+00    0.5125860744E+02
    0.5804195804E+00    0.5130108623E+02
    0.5814185814E+00    0.5134351653E+02
    0.5824175824E+00    0.5138589811E+02
    0.5834165834E+00    0.5142823073E+02
    0.5844155844E+00    0.5147051416E+02
    0.5854145854E+00    0.5151274815E+02
    0.5864135864E+00    0.5155493247E+02
    0.5874125874E+00    0.5159706686E+02
    0.5884115884E+00    0.5163915110E+02
    0.5894105894E+00    0.5168118493E+02
    0.5904095904E+00    0.5172316810E+02
    0.5914085914E+00    0.5176510037E+02
    0.5924075924E+00    0.5180698148E+02
    0.5934065934E+00    0.5184881119E+02
    0.5944055944E+00    0.5189058924E+02
    0.5954045954E+00    0.5193231537E+02
    0.5964035964E+00    0.5197398934E+02
    0.5974025974E+00    0.5201561087E+02
    0.5984015984E+00    0.5205717972E+02
    0.5994005994E+00    0.5209869562E+02
    0.6003996004E+00    0.5214015831E+02
    0.6013986014E+00    0.5218156752E+02
    0.6023976024E+00    0.5222292300E+02
    0.6033966034E+00    0.5226422446E+02
    0.6043956044E+00    0.5230547166E+02
    0.6053946054E+00    0.5234666430E+02
    0.6063936064E+00    0.5238780213E+02
    0.6073926074E+00    0.5242888487E+02
    0.6083916084E+00    0.5246991224E+02
    0.6093906094E+00    0.5251088397E+02
    0.6103896104E+00    0.5255179978E+02
    0.6113886114E+00    0.5259265940E+02
    0.6123876124E+00    0.5263346253E+02
    0.6133866134E+00    0.5267420890E+02
    0.6143856144E+00    0.5271489823E+02
    0.6153846154E+00    0.5275553023E+02
    0.6163836164E+00    0.5279610460E+02
    0.6173826174E+00    0.5283662108E+02
    0.6183816184E+00    0.5287707935E+02
    0.6193806194E+00    0.5291747914E+02
    0.6203796204E+00    0.5295782014E+02
    0.6213786214E+00    0.5299810207E+02
    0.6223776224E+00    0.5303832462E+02
    0.6233766234E+00    0.5307848751E+02
    0.6243756244E+00    0.5311859042E+02
    0.6253746254E+00    0.5315863306E+02
    0.6263736264E+00    0.5319861513E+02
    0.6273726274E+00    0.5323853633E+02
    0.6283716284E+00    0.5327839634E+02
    0.6293706294E+00    0.5331819485E+02
    0.6303696304E+00    0.5335793157E+02
    0.6313686314E+00    0.5339760619E+02
    0.6323676324E+00    0.5343721837E+02
    0.6333666334E+00    0.5347676783E+02
    0.6343656344E+00    0.5351625424E+02
    0.6353646354E+00    0.5355567727E+02
    0.6363636364E+00    0.5359503663E+02
    0.6373626374E+00    0.5363433198E+02
    0.6383616384E+00    0.5367356301E+02
    0.6393606394E+00    0.5371272939E+02
    0.6403596404E+00    0.5375183080E+02
    0.6413586414E+00    0.5379086691E+02
    0.6423576424E+00    0.5382983739E+02
    0.6433566434E+00    0.5386874192E+02
    0.6443556444E+00    0.5390758017E+02
    0.6453546454E+00    0.5394635180E+02
    0.6463536464E+00    0.5398505647E+02
    0.6473526474E+00    0.5402369387E+02
    0.6483516484E+00    0.5406226364E+02
    0.6493506494E+00    0.5410076545E+02
    0.6503496503E+00    0.5413919895E+02
    0.6513486513E+00    0.5417756382E+02
    0.6523476523E+00    0.5421585970E+02
    0.6533466533E+00    0.5425408625E+02
    0.6543456543E+00    0.5429224313E+02
    0.6553446553E+00    0.5433032998E+02
    0.6563436563E+00    0.5436834645E+02
    0.6573426573E+00    0.5440629221E+02
    0.6583416583E+00    0.5444416689E+02
    0.6593406593E+00    0.5448197013E+02
    0.6603396603E+00    0.5451970159E+02
    0.6613386613E+00    0.5455736091E+02
    0.6623376623E+00    0.5459494773E+02
    0.6633366633E+00    0.5463246168E+02
